yourlist:M202109285BF3C56A578D7D6DFD1FC81EE5DA773020E3889	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A2ART0	A2ART0	A2ART0_MOUSE	unreviewed	Predicted gene 14391 (Predicted gene 6710)	Gm6710 Gm14391	Mus musculus (Mouse)	554
A2ART1	A2ART1	A2ART1_MOUSE	unreviewed	Zinc finger protein 966 (Zinc finger protein 967) (Zinc finger protein 968) (Zinc finger protein 969)	Zfp967 Zfp966 Zfp968 Zfp969	Mus musculus (Mouse)	138
A2AWF2	A2AWF2	A2AWF2_MOUSE	unreviewed	Reduced expression 2	Rex2	Mus musculus (Mouse)	685
F6UQD0	F6UQD0	F6UQD0_MOUSE	unreviewed	Zinc finger protein 273	Zfp273	Mus musculus (Mouse)	468
M0QWC3	M0QWC3	M0QWC3_MOUSE	unreviewed	Zinc finger protein 429	Zfp429	Mus musculus (Mouse)	115
B2RUK9	B2RUK9	B2RUK9_MOUSE	unreviewed	Zinc finger protein 456	Zfp456	Mus musculus (Mouse)	458
A0A286YD11	A0A286YD11	A0A286YD11_MOUSE	unreviewed	Zinc finger protein 457 (Fragment)	Zfp457	Mus musculus (Mouse)	519
Q6P5C7	Q6P5C7	ZN728_MOUSE	reviewed	Zinc finger protein 728	Znf728 Zfp458	Mus musculus (Mouse)	752
D3Z7M1	D3Z7M1	D3Z7M1_MOUSE	unreviewed	Zinc finger protein 467	Zfp467	Mus musculus (Mouse)	92
A0A1Y7VP64	A0A1Y7VP64	A0A1Y7VP64_MOUSE	unreviewed	Zinc finger protein 493 (Fragment)	Zfp493	Mus musculus (Mouse)	85
A2A7A1	A2A7A1	A2A7A1_MOUSE	unreviewed	Zinc finger protein 534	Zfp534	Mus musculus (Mouse)	661
E9PY65	E9PY65	E9PY65_MOUSE	unreviewed	Zinc finger protein 58 (Fragment)	Zfp58	Mus musculus (Mouse)	241
B9EIT6	B9EIT6	B9EIT6_MOUSE	unreviewed	Zfp595 protein (Zinc finger protein 595)	Zfp595	Mus musculus (Mouse)	622
E9PWP1	E9PWP1	E9PWP1_MOUSE	unreviewed	Zinc finger protein 599	Zfp599	Mus musculus (Mouse)	548
A2A7U9	A2A7U9	A2A7U9_MOUSE	unreviewed	Zinc finger protein 600 (Fragment)	Zfp600	Mus musculus (Mouse)	135
D3Z0X4	D3Z0X4	D3Z0X4_MOUSE	unreviewed	Zinc finger protein 617 (Fragment)	Zfp617	Mus musculus (Mouse)	222
Q8BIQ3	Q8BIQ3	ZNF2_MOUSE	reviewed	Zinc finger protein 2 (Zinc finger protein 661) (Zfp-661)	Znf2 Zfp661	Mus musculus (Mouse)	427
F6R4Z5	F6R4Z5	F6R4Z5_MOUSE	unreviewed	Zinc finger protein 709	Zfp709	Mus musculus (Mouse)	726
E9PXJ4	E9PXJ4	E9PXJ4_MOUSE	unreviewed	Zinc finger protein 712	Zfp712	Mus musculus (Mouse)	705
B8JJX8	B8JJX8	B8JJX8_MOUSE	unreviewed	Zinc finger protein 738	Zfp738	Mus musculus (Mouse)	793
A0A286YDZ7	A0A286YDZ7	A0A286YDZ7_MOUSE	unreviewed	Zinc finger protein 759 (Fragment)	Zfp759	Mus musculus (Mouse)	124
A0A1Y7VJ92	A0A1Y7VJ92	A0A1Y7VJ92_MOUSE	unreviewed	Zinc finger protein 808	Zfp808	Mus musculus (Mouse)	136
A0A1L1SUL0	A0A1L1SUL0	A0A1L1SUL0_MOUSE	unreviewed	Zinc finger protein 810	Zfp810	Mus musculus (Mouse)	80
A0A1L1SRW1	A0A1L1SRW1	A0A1L1SRW1_MOUSE	unreviewed	Zinc finger protein 872 (Fragment)	Zfp872	Mus musculus (Mouse)	207
A0A286YD52	A0A286YD52	A0A286YD52_MOUSE	unreviewed	Zinc finger protein 874a	Zfp874a	Mus musculus (Mouse)	81
A0A286YDG9	A0A286YDG9	A0A286YDG9_MOUSE	unreviewed	Zinc finger protein 874b (Fragment)	Zfp874b	Mus musculus (Mouse)	176
D3Z2V3	D3Z2V3	D3Z2V3_MOUSE	unreviewed	Zinc finger protein 882 (Fragment)	Zfp882	Mus musculus (Mouse)	92
Q62396	Q62396	ZFP92_MOUSE	reviewed	Zinc finger protein 92 (Zfp-92)	Zfp92	Mus musculus (Mouse)	488
D3YWJ2	D3YWJ2	D3YWJ2_MOUSE	unreviewed	Zinc finger protein 931	Zfp931	Mus musculus (Mouse)	46
Q3V2G0	Q3V2G0	Q3V2G0_MOUSE	unreviewed	Zinc finger protein 933 (Fragment)	Zfp933	Mus musculus (Mouse)	98
A0A1Y7VP04	A0A1Y7VP04	A0A1Y7VP04_MOUSE	unreviewed	Predicted gene, 49359 (Zinc finger protein 935)	Gm49359 Zfp935	Mus musculus (Mouse)	150
E9Q9G3	E9Q9G3	E9Q9G3_MOUSE	unreviewed	Zinc finger protein 938	Zfp938	Mus musculus (Mouse)	579
Q3UPV7	Q3UPV7	Q3UPV7_MOUSE	unreviewed	Zinc finger protein 953	Zfp953 Zfp456	Mus musculus (Mouse)	304
A0A1D5RMJ2	A0A1D5RMJ2	A0A1D5RMJ2_MOUSE	unreviewed	Zinc finger protein 961	Zfp961	Mus musculus (Mouse)	78
Q5SXI5	Q5SXI5	ZN496_MOUSE	reviewed	Zinc finger protein 496 (NSD1-interacting zinc finger protein 1) (Zinc finger protein with KRAB and SCAN domains 17)	Znf496 Nizp11 Zfp496 Zkscan17	Mus musculus (Mouse)	585
E9Q3Y3	E9Q3Y3	E9Q3Y3_MOUSE	unreviewed	Predicted gene 14296	Gm14296	Mus musculus (Mouse)	100
Q61179	Q61179	IRF9_MOUSE	reviewed	Interferon regulatory factor 9 (IRF-9) (IFN-alpha-responsive transcription factor subunit) (ISGF3 p48 subunit) (Interferon-stimulated gene factor 3 gamma) (ISGF-3 gamma) (Transcriptional regulator ISGF3 subunit gamma)	Irf9 Isgf3g	Mus musculus (Mouse)	399
Q08122	Q08122	TLE3_MOUSE	reviewed	Transducin-like enhancer protein 3 (ESG) (Grg-3)	Tle3 Esg	Mus musculus (Mouse)	772
Q8BWT1	Q8BWT1	THIM_MOUSE	reviewed	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acetyltransferase) (EC 2.3.1.9) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial) (EC 3.1.2.-) (EC 3.1.2.1) (EC 3.1.2.2) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase)	Acaa2	Mus musculus (Mouse)	397
Q60597	Q60597	ODO1_MOUSE	reviewed	2-oxoglutarate dehydrogenase, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1) (OGDC-E1) (Alpha-ketoglutarate dehydrogenase)	Ogdh Kiaa4192	Mus musculus (Mouse)	1023
Q80X44	Q80X44	ZBT24_MOUSE	reviewed	Zinc finger and BTB domain-containing protein 24 (Bone morphogenetic protein-induced factor 1) (Brain-specific protein 1) (Zinc finger protein 450)	Zbtb24 Bif1 Bsg1 Znf450	Mus musculus (Mouse)	710
Q80VJ6	Q80VJ6	ZSC4C_MOUSE	reviewed	Zinc finger and SCAN domain containing protein 4C	Zscan4c Gm397	Mus musculus (Mouse)	506
P70371	P70371	TERF1_MOUSE	reviewed	Telomeric repeat-binding factor 1 (TTAGGG repeat-binding factor 1)	Terf1 Trf1	Mus musculus (Mouse)	421
Q9WTU0	Q9WTU0	PHF2_MOUSE	reviewed	Lysine-specific demethylase PHF2 (EC 1.14.11.-) (GRC5) (PHD finger protein 2)	Phf2 Kiaa0662	Mus musculus (Mouse)	1096
P81269	P81269	ATF1_MOUSE	reviewed	Cyclic AMP-dependent transcription factor ATF-1 (cAMP-dependent transcription factor ATF-1) (Activating transcription factor 1) (TCR-ATF1)	Atf1	Mus musculus (Mouse)	269
P40764	P40764	DLX2_MOUSE	reviewed	Homeobox protein DLX-2 (Homeobox protein TES-1)	Dlx2 Tes-1 Tes1	Mus musculus (Mouse)	332
O70494	O70494	SP3_MOUSE	reviewed	Transcription factor Sp3	Sp3	Mus musculus (Mouse)	783
O09102	O09102	GCM2_MOUSE	reviewed	Chorion-specific transcription factor GCMb (mGCMb) (GCM motif protein 2) (Glial cells missing homolog 2)	Gcm2 Gcmb	Mus musculus (Mouse)	504
Q6P3D7	Q6P3D7	SPIC_MOUSE	reviewed	Transcription factor Spi-C (Pu.1-related factor) (Prf)	Spic	Mus musculus (Mouse)	242
Q8K019	Q8K019	BCLF1_MOUSE	reviewed	Bcl-2-associated transcription factor 1 (Btf)	Bclaf1 Btf Kiaa0164	Mus musculus (Mouse)	919
D3YY81	D3YY81	D3YY81_MOUSE	unreviewed	Methyl-CpG-binding protein 2	Mecp2	Mus musculus (Mouse)	172
D3Z7U4	D3Z7U4	D3Z7U4_MOUSE	unreviewed	Methyl-CpG-binding protein 2	Mecp2	Mus musculus (Mouse)	189
Q99K74	Q99K74	MED24_MOUSE	reviewed	Mediator of RNA polymerase II transcription subunit 24 (Mediator complex subunit 24) (Thyroid hormone receptor-associated protein 4) (Thyroid hormone receptor-associated protein complex 100 kDa component) (Trap100) (mTRAP100)	Med24 D11Ertd307e Thrap4 Trap100	Mus musculus (Mouse)	987
Q91WA4	Q91WA4	CXXC5_MOUSE	reviewed	CXXC-type zinc finger protein 5	Cxxc5	Mus musculus (Mouse)	317
Q8BH52	Q8BH52	CR3L2_MOUSE	reviewed	Cyclic AMP-responsive element-binding protein 3-like protein 2 (cAMP-responsive element-binding protein 3-like protein 2) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 2]	Creb3l2 Bbf2h7	Mus musculus (Mouse)	521
P40646	P40646	SOX7_MOUSE	reviewed	Transcription factor SOX-7 (mSOX7)	Sox7 Sox-7	Mus musculus (Mouse)	380
Q60722	Q60722	ITF2_MOUSE	reviewed	Transcription factor 4 (TCF-4) (Class A helix-loop-helix transcription factor ME2) (Immunoglobulin transcription factor 2) (ITF-2) (MITF-2) (SL3-3 enhancer factor 2) (SEF-2)	Tcf4 Itf2 Sef2	Mus musculus (Mouse)	670
Q80TJ7	Q80TJ7	PHF8_MOUSE	reviewed	Histone lysine demethylase PHF8 (EC 1.14.11.27) (EC 1.14.11.65) (PHD finger protein 8) ([histone H3]-dimethyl-L-lysine(36) demethylase PHF8) ([histone H3]-dimethyl-L-lysine(9) demethylase PHF8)	Phf8 Kiaa1111	Mus musculus (Mouse)	1023
Q8C966	Q8C966	PF21B_MOUSE	reviewed	PHD finger protein 21B	Phf21b	Mus musculus (Mouse)	487
Q8VBW5	Q8VBW5	BBX_MOUSE	reviewed	HMG box transcription factor BBX (Bobby sox homolog) (HMG box-containing protein 2)	Bbx Hbp2	Mus musculus (Mouse)	907
P15037	P15037	ETS2_MOUSE	reviewed	Protein C-ets-2	Ets2	Mus musculus (Mouse)	468
Q8VDH1	Q8VDH1	FBX21_MOUSE	reviewed	F-box only protein 21	Fbxo21 Fbx21 Kiaa0875	Mus musculus (Mouse)	627
Q9ES18	Q9ES18	FOXJ2_MOUSE	reviewed	Forkhead box protein J2 (Fork head homologous X)	Foxj2 Fhx	Mus musculus (Mouse)	565
Q9JLZ6	Q9JLZ6	HIC2_MOUSE	reviewed	Hypermethylated in cancer 2 protein (Hic-2)	Hic2 Kiaa1020	Mus musculus (Mouse)	619
P41136	P41136	ID2_MOUSE	reviewed	DNA-binding protein inhibitor ID-2 (Inhibitor of DNA binding 2) (Inhibitor of differentiation 2)	Id2 Id-2 Idb2	Mus musculus (Mouse)	134
Q3UZ39	Q3UZ39	LRRF1_MOUSE	reviewed	Leucine-rich repeat flightless-interacting protein 1 (LRR FLII-interacting protein 1) (FLI-LRR-associated protein 1) (Flap-1) (H186 FLAP)	Lrrfip1 Flap	Mus musculus (Mouse)	729
Q3UK78	Q3UK78	PCGF5_MOUSE	reviewed	Polycomb group RING finger protein 5 (RING finger protein 159)	Pcgf5 Rnf159	Mus musculus (Mouse)	256
O35182	O35182	SMAD6_MOUSE	reviewed	Mothers against decapentaplegic homolog 6 (MAD homolog 6) (Mothers against DPP homolog 6) (Mad homolog 7) (SMAD family member 6) (SMAD 6) (Smad6)	Smad6 Madh6 Madh7 Msmad6	Mus musculus (Mouse)	495
Q61937	Q61937	NPM_MOUSE	reviewed	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	Npm1	Mus musculus (Mouse)	292
Q925H1	Q925H1	TRPS1_MOUSE	reviewed	Zinc finger transcription factor Trps1	Trps1	Mus musculus (Mouse)	1281
Q9JJP2	Q9JJP2	P73_MOUSE	reviewed	Tumor protein p73 (p53-like transcription factor) (p53-related protein)	Tp73 P73 Trp73	Mus musculus (Mouse)	631
Q07243	Q07243	MTF1_MOUSE	reviewed	Metal regulatory transcription factor 1 (MRE-binding transcription factor) (Transcription factor MTF-1)	Mtf1 Mtf-1	Mus musculus (Mouse)	675
Q8C854	Q8C854	MYEF2_MOUSE	reviewed	Myelin expression factor 2 (MEF-2) (MyEF-2)	Myef2 Kiaa1341 Mef2	Mus musculus (Mouse)	591
Q64012	Q64012	RALY_MOUSE	reviewed	RNA-binding protein Raly (Maternally-expressed hnRNP C-related protein) (hnRNP associated with lethal yellow protein)	Raly Merc	Mus musculus (Mouse)	312
Q01320	Q01320	TOP2A_MOUSE	reviewed	DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)	Top2a Top-2 Top2	Mus musculus (Mouse)	1528
Q60848	Q60848	HELLS_MOUSE	reviewed	Lymphocyte-specific helicase (EC 3.6.4.-) (Proliferation-associated SNF2-like protein)	Hells Lsh Pasg	Mus musculus (Mouse)	821
E9Q0B9	E9Q0B9	E9Q0B9_MOUSE	unreviewed	TOX high mobility group box family member 2	Tox2	Mus musculus (Mouse)	522
Q8R205	Q8R205	ZC3HA_MOUSE	reviewed	Zinc finger CCCH domain-containing protein 10	Zc3h10	Mus musculus (Mouse)	435
Q64321	Q64321	ZBT7B_MOUSE	reviewed	Zinc finger and BTB domain-containing protein 7B (Krueppel-related zinc finger protein cKrox) (c-Krox) (T-helper-inducing POZ/Krueppel-like factor) (Zinc finger protein 67) (Zfp-67) (Zinc finger protein Th-POK)	Zbtb7b Thpok Zfp67	Mus musculus (Mouse)	544
O54917	O54917	E2F6_MOUSE	reviewed	Transcription factor E2F6 (E2F-6) (E2F-binding site-modulating activity protein) (EMA)	E2f6	Mus musculus (Mouse)	272
Q922P9	Q922P9	GLYR1_MOUSE	reviewed	Putative oxidoreductase GLYR1 (EC 1.-.-.-) (Glyoxylate reductase 1 homolog) (Nuclear protein NP60)	Glyr1 Np60	Mus musculus (Mouse)	546
Q8R5C8	Q8R5C8	ZMY11_MOUSE	reviewed	Zinc finger MYND domain-containing protein 11	Zmynd11	Mus musculus (Mouse)	602
O35627	O35627	NR1I3_MOUSE	reviewed	Nuclear receptor subfamily 1 group I member 3 (Constitutive androstane receptor) (CAR) (Orphan nuclear receptor MB67)	Nr1i3 Car	Mus musculus (Mouse)	358
Q62158	Q62158	TRI27_MOUSE	reviewed	Zinc finger protein RFP (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRIM27) (Ret finger protein) (Tripartite motif-containing protein 27)	Trim27 Rfp	Mus musculus (Mouse)	513
